#,English,Marathi Devanagari
,Permanent Pastures and Other Grazing Lands,कुरणे व इतर चराऊ जमीन
,Land Under Miscellaneous Tree Crops etc,फुटकळ झाडीखालची जमीन
,Culturable Waste Land,शेतीयोग्य पडीक जमीन
,Fallow lands other than current fallows,कायमस्वरूपी पडीक जमीन
,Current Fallows,ह्या वर्षीची पडीक जमीन
,Net Area Sown,पिकांखालची जमीन
,Total Irrigated Land Area,एकूण बागायती जमीन
,Total Un-irrigated Land Area,एकूण कोरडवाहू शेतजमीन
,Irrigation facilities,सिंचन सुविधा
,Sources of irrigation are as follows (area in hectares):,सिंचन पाणीपुरवठा खालीलप्रमाणे आहे ( हेक्टरमध्ये क्षेत्रफळ):
,Canals,कालवे
,Wells/Tube-wells,विहिरी / कूप नलिका
,Tanks/Lakes,तलाव / तळी
,Water Falls,ओढे
,Others,इतर
,Manufacturing,उत्पादन
,is engaged in the manufacture of following items (in decreasing order of importance),ह्या गावी पुढील वस्तूंचे उत्पादन होते ( महत्वाच्या उतरत्या अनुक्रमाने)
,,
